#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
1384     0.213     71
1385     0.201     75
1386     0.156     69
1387     0.126     74
1388     0.091     74
1389     0.061     75
1390     0.141     65
1391     0.121     70
1392     0.153     67
1393     0.158     69
1394     0.200     66
1395     0.183     68
1396     0.185     63
1397     0.166     62
1398     0.153     63
1399     0.100     68
1400     0.250     73
1401     0.180     66
1402     0.264     67
1403     0.308     71
1404     0.378     72
1405     0.442     75
1406     0.507     72
1407     0.523     77
1408     0.609     77
1409     0.675     80
1410     0.706     79
1411     0.768     77
1412     0.794     78
1413     0.832     77
1414     0.888     76
1415     0.886     76
1416     0.913     77
1417     0.936     75
1418     0.939     78
1419     0.952     77
1420     0.975     76
1421     0.910     78
1422     0.886     81
1423     0.830     80
1424     0.805     80
1425     0.765     80
1426     0.728     81
1427     0.680     76
1428     0.665     76
1429     0.585     76
1430     0.587     67
1431     0.480     74
1432     0.481     76
1433     0.391     73
1434     0.337     71
1435     0.253     64
1436     0.183     64
1437     0.137     64
1438     0.104     69
1439     0.103     70
1440     0.091     68
1441     0.102     68
1442     0.177     74
1443     0.132     69
1444     0.131     75
1445     0.176     71
1446     0.210     71
1447     0.151     79
1448     0.167     74
1449     0.134     78
1450     0.120     71
1451     0.116     74
1452     0.126     68
1453     0.127     68
1454     0.111     64
1455     0.156     68
1456     0.157     69
1457     0.136     64
1458     0.155     67
1459     0.187     63
1460     0.154     61
1461     0.153     63
1462     0.143     52
1463     0.168     58
1464     0.117     55
1465     0.137     61
1466     0.162     56
1467     0.176     58
1468     0.182     65
1469     0.163     66
1470     0.150     61
1471     0.125     67
1472     0.110     68
1473     0.076     69
1474     0.073     69
1475     0.054     72
1476     0.070     71
1477     0.061     68
1478     0.064     61
1479     0.093     70
1480     0.095     73
1481     0.122     69
1482     0.132     72
1483     0.133     72
1484     0.179     74
1485     0.183     73
1486     0.144     72
1487     0.144     70
1488     0.126     67
1489     0.129     65
1490     0.134     66
1491     0.126     66
1492     0.128     71
1493     0.090     70
1494     0.071     79
1495     0.068     69
1496     0.098     69
1497     0.054     68
1498     0.060     69
1499     0.084     68
1500     0.085     67
1501     0.106     66
1502     0.071     66
1503     0.075     68
1504     0.086     72
1505     0.151     63
1506     0.130     68
1507     0.113     65
1508     0.105     67
1509     0.129     64
1510     0.141     64
1511     0.164     63
1512     0.217     60
1513     0.190     60
1514     0.182     61
1515     0.151     61
1516     0.162     64
1517     0.175     63
1518     0.191     66
1519     0.196     65
1520     0.245     69
1521     0.230     64
1522     0.246     62
1523     0.261     69
1524     0.265     66
1525     0.279     65
1526     0.264     62
1527     0.262     64
1528     0.261     62
1529     0.253     67
1530     0.266     61
1531     0.281     63
1532     0.227     67
1533     0.163     67
1534     0.115     66
1535     0.125     67
1536     0.112     68
1537     0.099     66
1538     0.108     66
1539     0.093     66
1540     0.131     66
1541     0.153     65
1542     0.185     61
1543     0.216     60
1544     0.250     63
1545     0.235     64
1546     0.306     63
1547     0.289     66
1548     0.272     62
1549     0.235     66
1550     0.259     63
1551     0.230     69
1552     0.239     63
1553     0.242     66
1554     0.271     58
1555     0.261     61
1556     0.214     64
1557     0.194     62
1558     0.209     62
1559     0.179     58
1560     0.184     61
1561     0.182     64
1562     0.190     60
1563     0.166     62
1564     0.148     67
1565     0.167     71
1566     0.174     72
1567     0.151     70
1568     0.171     68
1569     0.147     68
1570     0.194     73
1571     0.172     73
1572     0.147     74
1573     0.158     75
1574     0.180     71
1575     0.176     69
1576     0.151     72
1577     0.184     67
1578     0.166     69
1579     0.136     68
1580     0.138     71
1581     0.138     70
1582     0.110     71
1583     0.141     64
1584     0.141     67
1585     0.139     61
1586     0.097     62
1587     0.111     63
1588     0.152     63
1589     0.169     65
1590     0.151     66
1591     0.165     70
1592     0.120     65
1593     0.116     70
1594     0.099     65
1595     0.174     67
1596     0.153     78
1597     0.156     74
1598     0.174     72
1599     0.115     76
1600     0.145     56
1601     0.175     58
1602     0.180     62
1603     0.150     59
1604     0.151     59
1605     0.138     59
1606     0.150     61
1607     0.195     62
1608     0.166     68
1609     0.135     63
1610     0.121     61
1611     0.048     64
1612     0.103     62
1613     0.079     64
1614     0.110     63
1615     0.128     64
1616     0.129     68
1617     0.160     69
1618     0.185     67
1619     0.222     71
1620     0.209     70
1621     0.236     67
1622     0.225     67
1623     0.201     68
